cell_id,well_id,well_name,well_column,well_row,cellline_name,cell_last_tp,cell_event,well_id,well_drug_name,well_drug_concentration,well_drug_concentration_units
6633410,69763,G03,3,7,ND50010,1,TRUE,69763,VRG0045,2,uM
6633411,69763,G03,3,7,ND50010,1,TRUE,69763,VRG0045,2,uM
6633412,69763,G03,3,7,ND50010,2,TRUE,69763,VRG0045,2,uM
6633413,69763,G03,3,7,ND50010,2,TRUE,69763,VRG0045,2,uM
6633414,69763,G03,3,7,ND50010,2,TRUE,69763,VRG0045,2,uM
6633415,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633416,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633417,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633418,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633419,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633420,69763,G03,3,7,ND50010,1,TRUE,69763,VRG0045,2,uM
6633421,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633422,69763,G03,3,7,ND50010,10,FALSE,69763,VRG0045,2,uM
6633423,69763,G03,3,7,ND50010,2,TRUE,69763,VRG0045,2,uM
